name,ver,size,deps,reqBy,reason,installed,desc
"libupnp","1.14.25-1",958485,"glibc","","1","1761449652","Portable Open Source UPnP Development Kit"
"ghostty","1.2.3-3",29012508,"bzip2 fontconfig libfontconfig.so=1-64 freetype2 libfreetype.so=6-64 glibc glib2 libglib-2.0.so=0-64 libgio-2.0.so=0-64 libgobject-2.0.so=0-64 gtk4 libgtk-4.so=1-64 gtk4-layer-shell libx11 harfbuzz libharfbuzz.so=0-64 libadwaita libadwaita-1.so=0-64 libpng oniguruma pixman wayland libwayland-client.so=0-64 zlib ghostty-shell-integration ghostty-terminfo","","","1771691679","Fast, native, feature-rich terminal emulator pushing modern features"
"python-typing_extensions","4.15.0-3",542558,"python","","1","1768133969","Backported and Experimental Type Hints for Python 3.8+"
"aws-c-io","0.26.1-1",565577,"aws-c-cal aws-c-common glibc s2n-tls","","1","1770172977","AWS SDK module to handle all IO and TLS work for application protocols"
"libgpg-error","1.59-1",1193135,"glibc sh","","1","1771691676","Support library for libgcrypt"
"ripgrep","15.1.0-2",5252073,"glibc libgcc pcre2","","","1771691681","A search tool that combines the usability of ag with the raw speed of grep"
"aquamarine","0.10.0-2",1295254,"gcc-libs glibc hyprutils libhyprutils.so=10-64 hyprwayland-scanner libdisplay-info libdisplay-info.so=3-64 libdrm libglvnd libEGL.so=1-64 libGLESv2.so libinput mesa opengl-driver pixman pugixml seatd libseat.so=1-64 systemd-libs libudev.so=1-64 wayland libwayland-client.so=0-64 wayland-protocols","","1","1765025752","a very light linux rendering backend library"
"leancrypto","1.6.0-1",6294080,"glibc","","1","1762222212","Lean cryptographic library usable for bare-metal environments"
"bat","0.26.1-2",5924559,"libgcc glibc libgit2 oniguruma zlib libgit2.so=1.9-64","","","1771691678","Cat clone with syntax highlighting and git integration"
"liblc3","1.1.3-2",297164,"glibc","","1","1768133968","Low Complexity Communication Codec library and tools"
"libjxl","0.11.2-2",10121485,"brotli giflib glibc gperftools libgcc highway libjpeg-turbo libpng libstdc++","","1","1771691677","JPEG XL image format reference implementation"
"xdg-utils","1.2.1-2",318148,"sh file","","1","1765251349","Command line tools that assist applications with a variety of desktop integration tasks"
"db5.3","5.3.28-7",6792639,"libgcc libstdc++ sh","","1","1771691677","The Berkeley DB embedded database system v5.3"
"opencore-amr","0.1.6-2",299588,"glibc","","1","1760794778","Open source implementation of the Adaptive Multi Rate (AMR) speech codec"
"libisl","0.27-1",6034037,"gmp","","1","1760804355","Library for manipulating sets and relations of integer points bounded by linear constraints"
